Hotels,Distance,District,Price,Rating,Stars,Comments,Link,Descriptions
Feelathome Poblenou Beach Apartments,"a 3,4 km del centro","Sant Martí, Barcelona",€ 832,"8,3",4 de 5,883 comentarios,https://www.booking.com/hotel/es/feelathome-poblenou-beach-apartments.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Asn6_60GwAIB0gIkMjEwMDY0MTMtNzgxMi00YmVlLTkwYjMtMGVmZDZlNDI4NWM42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d6a694ee68d90259&srepoch=1707081056&all_sr_blocks=17288601_326411957_2_0_0&highlighted_blocks=17288601_326411957_2_0_0&matching_block_id=17288601_326411957_2_0_0&sr_pri_blocks=17288601_326411957_2_0_0__83179&from=searchresults#hotelTmpl,"Estos apartamentos son modernos y se encuentran en la zona de El Poblenou, en Barcelona, a 500 metros de la playa. Hay conexión Wi-Fi gratuita en las habitaciones y las zonas comunes. El centro de convenciones CCIB está a poca pasos.

La estación de metro Poblenou está a 200 metros y proporciona conexiones con el centro de la ciudad en 20 minutos. Los edificios de Gaudí, situados en el Paseo de Gracia, son fácilmente accesible.

Los apartamentos están situados en 2 edificios separados, a 210 metros de cada uno. Todos los apartamentos tienen cocina privada con lavadora, lavavajillas y horno. La sala de estar dispone de TV de pantalla plana. Algunos apartamentos tienen terraza privada o balcón. La terraza común está en la planta superior.

El establecimiento proporciona aparcamiento privado por un suplemento. Hay apartamentos familiares y para no fumadores.

Las fotografías mostradas en la parte superior de esta página son una selección de los diferentes apartamentos que están situados en la zona de El Poblenou, en Barcelona. Para ver las fotos de cada apartamento, seleccione una fecha y haga clic en los apartamentos que desee ver."
Sonder Casa Luz,a 450 m del centro,"Eixample, Barcelona",€ 934,"8,4",4 de 5,2.672 comentarios,https://www.booking.com/hotel/es/casa-luz-barcelona.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Asn6_60GwAIB0gIkMjEwMDY0MTMtNzgxMi00YmVlLTkwYjMtMGVmZDZlNDI4NWM42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d6a694ee68d90259&srepoch=1707081056&all_sr_blocks=596194813_328913233_2_2_0&highlighted_blocks=596194813_328913233_2_2_0&matching_block_id=596194813_328913233_2_2_0&sr_pri_blocks=596194813_328913233_2_2_0__93386&nad_id=5c7550de-c033-4ed9-b26d-69f045631eaa_1&nad_cpc=0.7&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IlB5UlVqV1o1YjJKVy9iU0pEa0U0TGh3SkJvWWYvTlNGL2JGN0owckZKaER1VGZyTExTNXk0N1gwUjdlbGFqNytMOXl0RStBdU9TK3psNGgzcXl2Y01jVnQvbFZRVXZ6dFRTVndxbkpHSnVEZ0p5R2Y0cHVKb2tzSE1hd1FDR21nU09kaFJpQU9SUDRJWGxKR3E1eUN2S2RWKzIwakJuSnBzeHVtc2dJWmh4ODRqbkUvWWdudFpYNHdZTFVzQU5sM0ROL3hJcHZhTHd2akMvWnZ3V0R5MTE0MTRyTkg4em1nNUt1MStKeEJ5NHdoUTRaVkdVaHlucTdQNytOSnU1TmpZa3pxaDFTd1ZhNEkrbDkyTFpSR21LcnhSTnJZbUFTZzhDL1BqYno2RDFNSUZlWnZwdm02QWdENFdDNkpPUzIzMG9ESVpva1FleGd6R0wrQ3NWdk5Fc2MrRlR2Mlp0TlpzQmpuRDdrekl0YVhlYkRaTlI4R0k3VGZwbUZLUjk0S2VVZU1USmVaaWQ3MEx2c1dqYXorOTRoZ0VzbWhMRVRjcHJKVk1URlVyV2VKWnlQKzJONko3SkhtVy9PZk9vYTFjRTZ3OXg4UFY1b3E0eisvTFh6REtyNFQ2SWNlcTQxazRBOWZybXcwRldJclBjeVVlTUVRZ0taeGVqbG9kRWE2WkFJVjVnZDlHcGFLMzhDQ1JrcW1SakhEeWJmL24zTjljdFd4L0lEMUg0aWY2ZUhOVGM2akFKOVNOOGw2aU5oUUovcmxPQzI0ajU3MW9wRG5LcWRERGx0UE5Md3crcTF2dmNmS0ZObEhGVnpjOWVPUWIxREQvQk4yQStxaElYTHNYcU1MczlKMGkzelVuQVo1cnU1SERHNjVEdnN5ZWk5dVV4V1JHSDdQVG5JY2tGUXZKYnZRNm5rRThmR3Z6WFAwaDBzeFIzeUQzM2ZseXJmK2szSGdOZEoxeEtCQ1pHYmdTNHp1b1FlNlI3MmVEMUJYeXVKRzhZVVpoM2UxMnprNUd0MXgxRENJNEpNZTVVTHdBM3I1LzNHeU5BRmpnbllXTHd6bDY4N1hvU2YxWjBZSkdVUUZoQSswU3hnM0w5T1FtNXViWVRKZXBZck9oNXRPSHUrMkxKdFQ3WU8zOVkrSjNqVkUvYVgrQXV0TUZzVmtYVmMyRHAyOFZZZUNQbEgybWpZU1kwZXBNYzdZSUg0Wm44aWYwZ1hzQTBBeFNQR00xem1FL2NLZHhVKzhiaElsVmpLMExNVnNSSDN0aUdKWDFCOVc1Vjl2V1VkZGRBcjc4MUE4d0NIN2F4UVIwWjdnL2FtSFQwWDcxNHNxUitRelpNRkM1VHdVc2hTU09xRi92Z1ZRRmo4MVJrU3JIaVIwYml0NWJJWlZWSy8wV1ZNVkRFWmRSYm94ZDJ0RFhUd21mV2VLOFZyYThxeVBNZjE4ZzQ3VE8rcHZLYWdaRUd2RjZYUWJwRmVlK21CaFRjQjVGR01wRGJ1eE5NcFNZYnhHN0Q3OUVZNFZkWmdNaGR3UGZuUWJSMngxazRMQmdVeWd4Z1hCeG9DdGxrU0N5YkIvREozWElUeUQzNmtpbVZINFkyQ29xV1ZpSUtocEhWTjRmQlA4VDFuSlJyb1Z1NVpPQ0dZRGNPblFPUmtqUkFUY2VpdDNGZU11RkJkcFFEMWppWEhpb3JjL3JlVE8yTGJBUnVmVHR0cEQzV05wK2dyaVBwWmZ0TjBsWklVZkFHblc0SWdrME15SjZlSkEwOUNXQzNjaDdxYndnOFVWbFdWU3JlVDg0WjVYLzQwMHpTbFcxdlNnRjBxb1IzVTlRSmRsWm9QakxmOFVNUjhySXJJckhIWklHdDBNeEZiaGFRZjRuNG1SUk82VWtUZW5KeVg3c3Zac21WaGFGdVlTVzVzME9aVThsNFhPM0RrZU9qdUlRZThTUWhOWmlzY0ZrRSt2U0xsM1cxdlJmQ1JKcW9TUndYOHJEaWZDKzJORE12MVVFNmZlN3BwNkJEVnZjcXZtZTFaQjlySGJ0UGp1SjFuQlE5UGJVNjNiczhzOVFEVm5UT2oyL08yVVVFamx1QTlub2haTjNMaitnSlgvMHN3NWJaaFFRYkc0UWdML1kzUTRrTVA2b3JSTk5sbnQ4V2hDMm81bWg1d3F2bDBBc2lrREhqc1dGdlJIRERUaDhVU1JFSTZEUXplbjUvbzBwNHRYODgvWkh4MzV4azRMOGdURHRnT096enZBQTZhRFpjVUxBVnJMbXppU0RvRTNHd2N4N1RNek5yMVZ0aThDM1hWUXl0RjhTVTluODFJcUZpZ3o5NTJ0REU3RURCVGFnTGNhYXR3bHo5UXpjTW1JQVE1T29CbG9kWUxwN2lZWFJzMFF3VVNqS2drOVVIOElhcGQ4OWtYK1ZLL1VWOTZZRXRZbU5PcnlrSmJMTVVULzVGM2d6YjFNMHQrb1hJU3FTek1xMDRlVnJoS1BBbVdEM3RCK29rMXhhL0RwRkYzWUMxZG93U203azhrMWxOY1B6TUZhRUlyOG52UEZPNzdsTERqME5rVFRMQVBabGlUcCtnMThSNUVJaTdDaGpJQU04azM3YUJ1VTZVcDJzUlo4SDBNajAzYTJaak56UTZpUHNQUG9pMStZNnloVm85alpzZ0Vid2FVR29CYUFzdE9aRTFad3l2YUNkbEpTWEoxeHNNbWwwZXVtZnNpbjExSlZ4bXlVenhuUTRsU29WejRRMkNZeUxFeTR0RHM1VDRYUjZvUWtSaU5sanhTb3RCcjI1N0ROWWYwdEowZTJFdnNSZVdodFI1ejlIVDhWZituNlhQRWF0dy81R2JRTVRFWm1CVkExay9GMXNhTUt4T3lEN0JRWnJ5MG90cXdwT1RpTmhBcUtEVHJwR2JoUjM0UXp5SHE3RU51VzhHeXVpRHRjemJDc2FZQ2hZRnFIWXphc3c5V2J2bGxFZTdTMElrUmJkelJGTkZScnU0YVFia2lZeFozQVVOaWxIQ21OdGFGVFp0S280MUVKWS92QzBJc0tRTnBXTCtyMmtlZ2VOSHRRKy9SK2o4NXVXNDBXZ0RydEt6RjBlb1pKK1F6RTQ5NktKMHN3QXJFa2x0MUFTczZ1b1JRL0RPa0haODNIOGtEcmUrR3pqbUo2NEtFQ2pCRkFiemRIQVN3WEtXZ3lzRE5XOXBPY2xtMU9qbXJuNEF0KzR0SEF0VTlpTjQ2b1lFUlFYdkZEQ2FQNkFjUkRFWlEvQmJzendjRGpQUkdza0VlTDluMFUifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Sonder Casa Luz se encuentra en Barcelona y ofrece terraza, desayuno y servicio de limpieza gratuito. Los huéspedes podrán visitar el cercano museo de arte contemporáneo MACBA, el mercado de La Boquería y la Rambla del Raval.

El establecimiento alberga un restaurante.

Entre los sitios de interés cercanos al hotel están el paseo de Gracia, la Casa Batlló y la plaza de Cataluña. El aeropuerto de El Prat, situado a 14 km del Sonder l Casa Luz, es el más cercano."
Hostal Orleans,"a 1,2 km del centro","Ciutat Vella, Barcelona",€ 469,"8,6",2 de 5,3.384 comentarios,https://www.booking.com/hotel/es/hostal-orleans.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Asn6_60GwAIB0gIkMjEwMDY0MTMtNzgxMi00YmVlLTkwYjMtMGVmZDZlNDI4NWM42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d6a694ee68d90259&srepoch=1707081056&all_sr_blocks=38790504_298815720_0_0_0&highlighted_blocks=38790504_298815720_0_0_0&matching_block_id=38790504_298815720_0_0_0&sr_pri_blocks=38790504_298815720_0_0_0__46861&from=searchresults#hotelTmpl,"Este establecimiento es acogedor y está situado frente a la estación de tren Estació de França, a 50 metros del parque de la Ciutadella. Ofrece habitaciones con aire acondicionado, balcón y conexión Wi-Fi gratuita.

Las habitaciones del Hostal Orleans están decoradas en colores vivos y cuentan con TV de plasma, caja fuerte y baño privado con secador de pelo. También incluyen ropa de cama y toallas.

El establecimiento cuenta con salón compartido, que incluye sofás, ordenadores con conexión a internet gratuita, máquinas expendedoras de bebidas y microondas. La recepción abre 24 horas y se ofrece consigna de equipaje gratuita.

El Orleans está a 2 minutos a pie de la iglesia de Santa Maria del Mar y a 900 metros de la playa de la Barceloneta. El centro comercial Maremagnum está a 5 minutos a pie.

La estación de metro Barceloneta se encuentra a 400 metros y La Rambla y la catedral de la ciudad están a 10 minutos a pie."
Wilson Boutique Hotel,"a 1,8 km del centro","Sarrià-Sant Gervasi, Barcelona",€ 545,"8,5",4 de 5,2.123 comentarios,https://www.booking.com/hotel/es/wilson.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Asn6_60GwAIB0gIkMjEwMDY0MTMtNzgxMi00YmVlLTkwYjMtMGVmZDZlNDI4NWM42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=d6a694ee68d90259&srepoch=1707081056&all_sr_blocks=9046002_88492580_0_2_0&highlighted_blocks=9046002_88492580_0_2_0&matching_block_id=9046002_88492580_0_2_0&sr_pri_blocks=9046002_88492580_0_2_0__54490&from=searchresults#hotelTmpl,"El Wilson Boutique Hotel está situado en la avenida Diagonal de Barcelona, a 12 minutos a pie de La Pedrera, en el Paseo de Gracia. El establecimiento presenta una decoración elegante y ofrece WiFi gratuita y una terraza en la azotea con vistas impresionantes a la ciudad.

El Wilson Boutique Hotel dispone de habitaciones insonorizadas con un diseño elegante y contemporáneo. Todas ellas son luminosas y cuentan con ventanas grandes, TV de pantalla plana y aire acondicionado.

El hotel está a poca distancia a pie de la plaza de Cataluña, donde hay una gran variedad de tiendas y restaurantes.

El Wilson Boutique cuenta con excelentes conexiones de transporte público. Muchos autobuses, incluyendo el autobús turístico, paran frente al hotel.

En el vestíbulo hay un ordenador y una impresora de uso gratuito. El mostrador de información turística proporciona información sobre los lugares de interés de Barcelona, ​​como la Casa Batlló de Gaudí, situada a unos 20 minutos a pie del Wilson. La estación de metro Diagonal se halla a 750 metros."
Exe Mitre,"a 3,2 km del centro","Sarrià-Sant Gervasi, Barcelona",€ 484,"8,1",3 de 5,1.919 comentarios,https://www.booking.com/hotel/es/mitre.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Asn6_60GwAIB0gIkMjEwMDY0MTMtNzgxMi00YmVlLTkwYjMtMGVmZDZlNDI4NWM42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=d6a694ee68d90259&srepoch=1707081056&all_sr_blocks=9008313_91462634_2_2_0&highlighted_blocks=9008313_91462634_2_2_0&matching_block_id=9008313_91462634_2_2_0&sr_pri_blocks=9008313_91462634_2_2_0__48400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Exe Mitre goza de una ubicación tranquila en el barrio de San Gervasi de Barcelona, ​​a 200 metros del parque del Putxet. Ofrece habitaciones amplias y WiFi gratuita.

El amplio desayuno buffet incluye platos fríos y calientes. Además, el atento personal estará encantado de recomendarle restaurantes y bares de la zona.

Las elegantes habitaciones del Exe Mitre presentan una decoración clásica y están equipadas con TV de pantalla plana. Algunas también tienen una terraza con vistas a la montaña del Tibidado.

El Exe Mitre está a solo 15 minutos a pie del famoso Park Güell de Gaudí y a 200 metros de la estación de ferrocarril de Putxet, que conecta con el Passeig de Gràcia en solo 6 minutos. La plaza Catalunya y las Ramblas quedan a 8 minutos en metro."
Hotel Derby,"a 2,4 km del centro","Les Corts, Barcelona",€ 500,"8,3",4 de 5,2.172 comentarios,https://www.booking.com/hotel/es/derby.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Asn6_60GwAIB0gIkMjEwMDY0MTMtNzgxMi00YmVlLTkwYjMtMGVmZDZlNDI4NWM42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=d6a694ee68d90259&srepoch=1707081056&all_sr_blocks=9004002_0_2_0_0&highlighted_blocks=9004002_0_2_0_0&matching_block_id=9004002_0_2_0_0&sr_pri_blocks=9004002_0_2_0_0__49995&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Derby está situado a 300 metros del centro comercial L'Illa Diagonal y a 20 minutos a pie del estadio Camp Nou del FC Barcelona. Todas las habitaciones disponen de aire acondicionado, TV de pantalla plana vía satélite y conexión gratuita a internet.

El elegante Derby Hotel tiene una impresionante colección de arte catalán, incluidas obras de Miró y Tàpies. Las habitaciones presentan un diseño funcional y suelo de parquet. Todas incluyen caja fuerte y minibar.

El Hotel Derby alberga la pizzería italiana Santa Napoli y la coctelería Lima Bruja, de estilo peruano.

Los huéspedes pueden acceder al gimnasio y la piscina del Gran Derby Hotel, situado a solo 10 metros. La estación de metro Hospital Clínic está a 800 metros, mientras que la Feria de Muestras de la Plaza de España se encuentra a 20 minutos a pie."
Hotel Ronda Lesseps,a 3 km del centro,"Gracia, Barcelona",€ 473,"8,3",4 de 5,2.117 comentarios,https://www.booking.com/hotel/es/rondalessepsbarcelona.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Asn6_60GwAIB0gIkMjEwMDY0MTMtNzgxMi00YmVlLTkwYjMtMGVmZDZlNDI4NWM42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d6a694ee68d90259&srepoch=1707081056&all_sr_blocks=9156607_0_2_0_0&highlighted_blocks=9156607_0_2_0_0&matching_block_id=9156607_0_2_0_0&sr_pri_blocks=9156607_0_2_0_0__47326&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Hotel Ronda Lesseps es un establecimiento tranquilo y familiar con 2 hermosas terrazas interiores llenas de plantas que permiten a los huéspedes relajarse durante su estancia en la ciudad.

El hotel está situado en el corazón metropolitano de Barcelona, muy bien comunicado en transporte público, muy cerca del histórico barrio de Gràcia y a solo 10 minutos a pie del parque Güell de Antoni Gaudí.

Número de licencia: HB-004338"
TWO Hotel Barcelona by Axel 4* Sup- Adults Only,"a 1,5 km del centro","Eixample, Barcelona",€ 576,"8,4",4 de 5,2.540 comentarios,https://www.booking.com/hotel/es/two-barcelona-by-axel.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Asn6_60GwAIB0gIkMjEwMDY0MTMtNzgxMi00YmVlLTkwYjMtMGVmZDZlNDI4NWM42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=d6a694ee68d90259&srepoch=1707081056&all_sr_blocks=131688502_0_2_0_0&highlighted_blocks=131688502_0_2_0_0&matching_block_id=131688502_0_2_0_0&sr_pri_blocks=131688502_0_2_0_0__57566&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El TWO Hotel Barcelona by Axel está situado en pleno barrio gay de Barcelona, a 2 km de la playa de la Barceloneta, y alberga una piscina en la azotea con solárium amplio.

Este hotel hetero friendly proporciona aparcamiento privado. También incluye recepción 24 horas y mostrador de información turística, donde se ofrece información sobre la ciudad y la zona gay. Además, la azotea alberga el bar Sky, un gimnasio, un baño de vapor y una sala de masajes.

Las habitaciones están equipadas con aire acondicionado y minibar. El baño es privado y consta de ducha y secador de pelo. Además, las habitaciones incluyen caja fuerte y cargador universal para teléfonos móviles.

El alojamiento alberga un bar en la azotea con vistas impresionantes a la ciudad, así como un bar salón donde se preparan cócteles fabulosos. El alojamiento sirve un desayuno buffet todas las mañanas y ofrece WiFi gratuita de alta velocidad en todas las instalaciones.

El personal puede facilitar información sobre la zona de los alrededores, conocida como “Gayxample” debido a su animado ocio nocturno gay.

El hotel se encuentra a 2 minutos a pie de la estación de metro de Rocafort y a 10 minutos a pie de la plaza España, que ofrece enlace directo en autobús con el aeropuerto de Barcelona. El TWO Hotel Barcelona by Axel se encuentra a 1,3 km de la avenida del Paralelo, repleta de bares, restaurantes, discotecas y teatros."
Sunotel Club Central,"a 1,1 km del centro","Eixample, Barcelona",€ 588,"8,3",4 de 5,458 comentarios,https://www.booking.com/hotel/es/sunotel-club-central.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Asn6_60GwAIB0gIkMjEwMDY0MTMtNzgxMi00YmVlLTkwYjMtMGVmZDZlNDI4NWM42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=d6a694ee68d90259&srepoch=1707081056&all_sr_blocks=54199001_88155218_0_2_0&highlighted_blocks=54199001_88155218_0_2_0&matching_block_id=54199001_88155218_0_2_0&sr_pri_blocks=54199001_88155218_0_2_0__58765&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Sunotel Club Central se encuentra en el elegante barrio barcelonés del Eixample y ofrece piscina al aire libre y terraza con bañera de hidromasaje.

Las habitaciones son modernas y cuentan con aire acondicionado, WiFi gratuita de alta velocidad, TV y minibar. El baño privado incluye bañera, ducha y secador de pelo.

El Sunotel Club Central alberga un bar acogedor que sirve bebidas y aperitivos. Hay servicio de habitaciones y la recepción está abierta las 24 horas. Se proporcionan bicicletas de uso gratuito, bajo petición y sujetas a disponibilidad.

El Sunotel Club Central se encuentra a 10 minutos a pie de los monumentos de Gaudí y de las tiendas de diseño del Passeig de Gràcia. La plaza de Catalunya y Las Ramblas están a 15 minutos a pie. En la plaza de Catalunya hay autobuses que enlazan con el aeropuerto."
Pol & Grace Hotel,"a 2,5 km del centro","Sarrià-Sant Gervasi, Barcelona",€ 520,"8,4",4 de 5,2.522 comentarios,https://www.booking.com/hotel/es/guillermo-tell.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Asn6_60GwAIB0gIkMjEwMDY0MTMtNzgxMi00YmVlLTkwYjMtMGVmZDZlNDI4NWM42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d6a694ee68d90259&srepoch=1707081056&all_sr_blocks=9235702_91908354_0_2_0&highlighted_blocks=9235702_91908354_0_2_0&matching_block_id=9235702_91908354_0_2_0&sr_pri_blocks=9235702_91908354_0_2_0__51958&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Pol & Grace Hotel se encuentra a solo 100 metros de las estaciones de tren de Plaça Molina y Sant Gervasi de Barcelona. El establecimiento ofrece habitaciones amplias con aire acondicionado, TV de pantalla plana vía satélite y WiFi gratuita.

Este hotel moderno cuenta con biblioteca, zona de trabajo de uso gratuito y zona de exposición de obras de artistas locales. Además, hay servicio gratuito de café y té desde media mañana a disposición de los huéspedes.

Todas las habitaciones del Pol & Grace Hotel están insonorizadas y presentan una decoración funcional y moderna. Incluyen nevera pequeña, caja fuerte gratuita y regalo de bienvenida. Los baños están totalmente equipados con artículos de aseo.

El establecimiento sirve un desayuno buffet variado todas las mañanas. Además, el hotel cuenta con servicio de habitaciones. También dispone de recepción abierta las 24 horas con servicio de alquiler de coches, mostrador de información turística y aparcamiento privado.

La estación de metro de Fontana queda a 600 metros y ofrece conexiones directas con la plaza de Cataluña, las Ramblas y el parque Güell. Además, el establecimiento está a unos 2 minutos a pie del famoso barrio de Gracia, donde se pueden encontrar numerosas tiendas, restaurantes y bares."
